Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW),Solar_Irradiance,Temperature_2m,Cloud_Cover
12/5/2023,18.319,0.36638,Wray Farms,United Kingdom,50,1.41,5.3,86
12/6/2023,69.354,1.38708,Wray Farms,United Kingdom,50,3.77,0.8,34
12/7/2023,7.994,0.15988,Wray Farms,United Kingdom,50,0.59,4.7,100
12/8/2023,46.977,0.93954,Wray Farms,United Kingdom,50,3.1,6.9,50
12/9/2023,16.43,0.3286,Wray Farms,United Kingdom,50,0.98,8.3,85
12/10/2023,7.707,0.15414,Wray Farms,United Kingdom,50,0.7,8.2,72
12/11/2023,16.443,0.32886,Wray Farms,United Kingdom,50,2.36,8.1,46
12/12/2023,14.306,0.28612,Wray Farms,United Kingdom,50,1.31,7,95
12/13/2023,10.249,0.20498,Wray Farms,United Kingdom,50,0.65,5.9,97
12/14/2023,29.79,0.5958,Wray Farms,United Kingdom,50,1.37,4.4,59
12/15/2023,19.822,0.39644,Wray Farms,United Kingdom,50,3.12,5.6,86
12/16/2023,69.429,1.38858,Wray Farms,United Kingdom,50,2,9.9,92
12/17/2023,30.836,0.61672,Wray Farms,United Kingdom,50,2.76,9.2,64
12/18/2023,30.674,0.61348,Wray Farms,United Kingdom,50,0.64,10.7,98
12/19/2023,7.323,0.14646,Wray Farms,United Kingdom,50,0.75,9.3,81
12/20/2023,13.668,0.27336,Wray Farms,United Kingdom,50,0.81,9,86
12/21/2023,33.387,0.66774,Wray Farms,United Kingdom,50,2.04,10.8,94
12/22/2023,15.353,0.30706,Wray Farms,United Kingdom,50,1.25,9.6,100
12/23/2023,33.075,0.6615,Wray Farms,United Kingdom,50,2.28,10.2,100
12/24/2023,10.219,0.20438,Wray Farms,United Kingdom,50,1.5,12.4,99
12/25/2023,14.522,0.29044,Wray Farms,United Kingdom,50,1.36,10.4,95
12/26/2023,43.366,0.86732,Wray Farms,United Kingdom,50,3.16,6.4,52
12/27/2023,2.788,0.05576,Wray Farms,United Kingdom,50,0.39,8.6,91
12/28/2023,24.289,0.48578,Wray Farms,United Kingdom,50,2.47,9.9,75
12/29/2023,33.55,0.671,Wray Farms,United Kingdom,50,2.04,7.2,42
12/30/2023,9.8,0.196,Wray Farms,United Kingdom,50,0.63,7.5,96
12/31/2023,23.775,0.4755,Wray Farms,United Kingdom,50,1.65,7.3,88
1/1/2024,42.578,0.85156,Wray Farms,United Kingdom,50,3.2,6.7,66
1/2/2024,3.054,0.06108,Wray Farms,United Kingdom,50,0.49,9.4,94
1/3/2024,24.054,0.48108,Wray Farms,United Kingdom,50,2.34,7.3,60
1/4/2024,41.226,0.82452,Wray Farms,United Kingdom,50,3.27,5.8,73
1/5/2024,19.636,0.39272,Wray Farms,United Kingdom,50,1.66,5.3,100
1/6/2024,32.203,0.64406,Wray Farms,United Kingdom,50,1.34,4.3,91
1/7/2024,31.656,0.63312,Wray Farms,United Kingdom,50,1.99,3.5,92
1/8/2024,7.478,0.14956,Wray Farms,United Kingdom,50,1.88,2.9,84
1/9/2024,81.959,1.63918,Wray Farms,United Kingdom,50,4.05,2.4,11
1/10/2024,28.788,0.57576,Wray Farms,United Kingdom,50,2.82,4.1,42
1/11/2024,9.74,0.1948,Wray Farms,United Kingdom,50,1.67,4.7,84
1/12/2024,15.106,0.30212,Wray Farms,United Kingdom,50,1.35,5.2,98
1/13/2024,74.688,1.49376,Wray Farms,United Kingdom,50,3.83,3.3,50
1/14/2024,28.957,0.57914,Wray Farms,United Kingdom,50,3.46,2.1,66
1/15/2024,88.244,1.76488,Wray Farms,United Kingdom,50,4.5,-1,9
1/16/2024,46.111,0.92222,Wray Farms,United Kingdom,50,3.33,0.3,81
1/17/2024,53.323,1.06646,Wray Farms,United Kingdom,50,4.23,-0.4,59
1/18/2024,88.427,1.76854,Wray Farms,United Kingdom,50,4.63,-2.2,1
1/19/2024,84.876,1.69752,Wray Farms,United Kingdom,50,4.66,0.1,24
1/20/2024,20.058,0.40116,Wray Farms,United Kingdom,50,1.79,3.1,98
1/21/2024,34.995,0.6999,Wray Farms,United Kingdom,50,3.22,8.6,97
1/22/2024,61.755,1.2351,Wray Farms,United Kingdom,50,4.44,9,34
1/23/2024,8.75,0.175,Wray Farms,United Kingdom,50,0.67,8.7,85
1/24/2024,39.633,0.79266,Wray Farms,United Kingdom,50,3.72,9.1,65
1/25/2024,25.795,0.5159,Wray Farms,United Kingdom,50,2.02,7.7,99
1/26/2024,97.289,1.94578,Wray Farms,United Kingdom,50,5.26,8.1,32
1/27/2024,51.521,1.03042,Wray Farms,United Kingdom,50,4,4.8,80
1/28/2024,69.366,1.38732,Wray Farms,United Kingdom,50,4.82,6,87
1/29/2024,22.285,0.4457,Wray Farms,United Kingdom,50,2.79,10.3,100
1/30/2024,26.828,0.53656,Wray Farms,United Kingdom,50,1.67,8,85
1/31/2024,34.361,0.68722,Wray Farms,United Kingdom,50,4.23,5.6,80
2/1/2024,90.722,1.81444,Wray Farms,United Kingdom,50,5.76,5.4,70
2/2/2024,70.661,1.41322,Wray Farms,United Kingdom,50,2.94,9.6,88
2/3/2024,47.971,0.95942,Wray Farms,United Kingdom,50,4.22,11.3,85
2/4/2024,41.12,0.8224,Wray Farms,United Kingdom,50,2.19,10.8,100
2/5/2024,27.416,0.54832,Wray Farms,United Kingdom,50,2.98,9.8,90
2/6/2024,26.011,0.52022,Wray Farms,United Kingdom,50,2.48,10.6,100
2/7/2024,49.389,0.98778,Wray Farms,United Kingdom,50,4.59,4.5,100
2/8/2024,9.99,0.1998,Wray Farms,United Kingdom,50,0.59,3.2,100
2/9/2024,21.387,0.42774,Wray Farms,United Kingdom,50,2.35,9.4,98
2/10/2024,16.881,0.33762,Wray Farms,United Kingdom,50,4.1,8.6,100
2/11/2024,39.171,0.78342,Wray Farms,United Kingdom,50,3.63,7.1,73
2/12/2024,128.606,2.57212,Wray Farms,United Kingdom,50,7.79,4.8,33
2/13/2024,29.12,0.5824,Wray Farms,United Kingdom,50,2.39,7,99
2/14/2024,47.613,0.95226,Wray Farms,United Kingdom,50,4.09,12.3,100
2/15/2024,54.174,1.08348,Wray Farms,United Kingdom,50,6.22,13.6,99
2/16/2024,84.512,1.69024,Wray Farms,United Kingdom,50,6.43,11.2,64
2/17/2024,33.282,0.66564,Wray Farms,United Kingdom,50,2.6,10.2,95
2/18/2024,59.312,1.18624,Wray Farms,United Kingdom,50,5.07,11.4,60
2/19/2024,111.093,2.22186,Wray Farms,United Kingdom,50,8.03,9.3,76
2/20/2024,78.72,1.5744,Wray Farms,United Kingdom,50,6.21,9.3,94
2/21/2024,20.736,0.41472,Wray Farms,United Kingdom,50,1.57,9.8,99
2/22/2024,16.19,0.3238,Wray Farms,United Kingdom,50,2.19,7.3,70
2/22/2024,423.541,3.921675926,Nugali,Brazil,108,19.85,23.7,63
2/23/2024,572.466,5.300611111,Nugali,Brazil,108,22.8,25.8,55
2/23/2024,2101.483,4.144119503,siris-D-500kW,Greece,507.1,13.26,9.2,47
2/23/2024,115.487,2.30974,Wray Farms,United Kingdom,50,8.65,4.6,69
2/24/2024,476.083,4.408175926,Nugali,Brazil,108,19.44,26.3,85
2/24/2024,2564.958,5.058091106,siris-D-500kW,Greece,507.1,14.18,11.5,38
2/24/2024,135.737,2.71474,Wray Farms,United Kingdom,50,9.51,3.3,19
2/25/2024,493.59,0.990309378,Schipper Power- Three,Netherlands,498.42,7.51,5.7,82
2/25/2024,137.511,2.115553846,Feuerwehr,Switzerland,65,12.47,3.7,32
2/25/2024,112.493,2.24986,Wray Farms,United Kingdom,50,8.49,3.6,73
2/25/2024,1006.772,1.985352002,siris-D-500kW,Greece,507.1,8.9,11.8,100
2/25/2024,134.42,1.24462963,Nugali,Brazil,108,10.01,25.2,100
2/26/2024,787.898,1.553732992,siris-D-500kW,Greece,507.1,12.07,12.8,93
2/26/2024,126.581,1.378877996,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,7.92,3.7,87
2/26/2024,719,1.425526642,Pentaari,Greece,504.375,8.23,9.2,85
2/26/2024,1329.382,5.26029598,Wannon Water,Australia,252.72,21.34,16.3,99
2/26/2024,428.96,0.860639621,Schipper Power- Three,Netherlands,498.42,3.58,4.9,95
2/26/2024,110.836,2.21672,Wray Farms,United Kingdom,50,8.07,5.8,57
2/26/2024,59.781,0.919707692,Feuerwehr,Switzerland,65,8.21,7,99
2/26/2024,2061.171,4.91187713,MAWC,Maldives,419.63,24.92,28.9,87
2/26/2024,253.094,2.343462963,Nugali,Brazil,108,11.86,24.5,95
2/27/2024,68.538,1.054430769,Feuerwehr,Switzerland,65,5.54,6.8,100
2/27/2024,1021.18,2.048834316,Schipper Power- Three,Netherlands,498.42,10.49,4.4,42
2/27/2024,2627.272,5.180974167,siris-D-500kW,Greece,507.1,14.91,11.6,33
2/27/2024,1759.329,4.192572028,MAWC,Maldives,419.63,24.07,28.2,98
2/27/2024,371.221,3.437231481,Nugali,Brazil,108,13.77,25.5,98
2/27/2024,60.117,1.20234,Wray Farms,United Kingdom,50,4.29,4.4,77
2/27/2024,1665.504,6.59031339,Wannon Water,Australia,252.72,25.99,17.3,34
2/27/2024,81.88,0.891938998,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,4.78,4.7,99
2/27/2024,2261,4.482775713,Pentaari,Greece,504.375,9.01,8.6,73
2/28/2024,182.074,1.983376906,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,10.67,6.9,97
2/28/2024,580.13,1.163938044,Schipper Power- Three,Netherlands,498.42,4.02,5.5,88
2/28/2024,2239.964,4.417203707,siris-D-500kW,Greece,507.1,13.46,10.4,83
2/28/2024,48.578,0.97156,Wray Farms,United Kingdom,50,2.54,6.5,97
2/28/2024,41.766,0.642553846,Feuerwehr,Switzerland,65,4.76,7.1,97
2/28/2024,599.404,5.550037037,Nugali,Brazil,108,23.86,26.7,64
2/28/2024,711.763,2.816409465,Wannon Water,Australia,252.72,19.1,25.4,48
2/28/2024,403,0.799008674,Pentaari,Greece,504.375,6.31,10.2,100
2/28/2024,1920.269,4.576100374,MAWC,Maldives,419.63,23.9,28.5,79
2/29/2024,31.899,0.63798,Wray Farms,United Kingdom,50,1.65,9.1,100
2/29/2024,1250.759,4.949188826,Wannon Water,Australia,252.72,14.52,18.5,81
2/29/2024,218.1,0.437582762,Schipper Power- Three,Netherlands,498.42,1.61,7.8,100
2/29/2024,1285,2.547707559,Pentaari,Greece,504.375,8.34,10.4,99
2/29/2024,520.831,4.822509259,Nugali,Brazil,108,16.41,25.3,97
2/29/2024,1575.086,3.106065865,siris-D-500kW,Greece,507.1,12.5,11.7,94
2/29/2024,90.141,1.386784615,Feuerwehr,Switzerland,65,12.35,5.7,28
2/29/2024,84.835,0.92412854,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,6.98,6.2,96
2/29/2024,1684.881,4.015158592,MAWC,Maldives,419.63,23.13,28.3,77
3/1/2024,82.36,0.897167756,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,3.8,6.5,93
3/1/2024,798.2,1.601460616,Schipper Power- Three,Netherlands,498.42,7.55,8.3,90
3/1/2024,54.139,1.08278,Wray Farms,United Kingdom,50,5.63,4.4,70
3/1/2024,33.804,0.520061538,Feuerwehr,Switzerland,65,4.51,5.4,93
3/1/2024,553.645,1.319364678,MAWC,Maldives,419.63,12.39,28.7,99
3/1/2024,369.755,0.729155985,siris-D-500kW,Greece,507.1,3.06,11.3,100
3/1/2024,627.14,5.806851852,Nugali,Brazil,108,18.17,24.6,86
3/1/2024,1617.257,6.399402501,Wannon Water,Australia,252.72,24.71,17.2,30
3/1/2024,0.08,0.000158612,Pentaari,Greece,504.375,4.51,8.8,92
3/2/2024,2265,4.49070632,Pentaari,Greece,504.375,13.58,6.6,46
3/2/2024,94.665,1.456384615,Feuerwehr,Switzerland,65,12.52,6.5,78
3/2/2024,1529.307,6.051388889,Wannon Water,Australia,252.72,18.54,16.4,56
3/2/2024,1480.927,3.529125658,MAWC,Maldives,419.63,8.48,27.3,98
3/2/2024,77.794,1.55588,Wray Farms,United Kingdom,50,6.16,4.3,61
3/2/2024,1084.03,2.174932788,Schipper Power- Three,Netherlands,498.42,10.3,8.9,57
3/2/2024,1144.074,2.256111221,siris-D-500kW,Greece,507.1,9.08,10.7,66
3/2/2024,593.996,5.499962963,Nugali,Brazil,108,22.62,25,47
3/2/2024,143.574,1.563986928,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,11.07,6.7,74
3/3/2024,2611,5.176703841,Pentaari,Greece,504.375,16.24,6.1,24
3/3/2024,770.35,1.545584046,Schipper Power- Three,Netherlands,498.42,10.13,10,84
3/3/2024,77.945,1.199153846,Feuerwehr,Switzerland,65,11.24,9.5,86
3/3/2024,1198.213,2.85540357,MAWC,Maldives,419.63,24.29,28.5,31
3/3/2024,2413.607,4.759627292,siris-D-500kW,Greece,507.1,14.8,9.2,24
3/3/2024,950.304,3.760303894,Wannon Water,Australia,252.72,15.79,16,80
3/3/2024,184.129,2.005762527,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,11.44,8.1,87
3/3/2024,77.301,1.54602,Wray Farms,United Kingdom,50,7.73,3.3,90
3/3/2024,652.92,6.045555556,Nugali,Brazil,108,24.68,25.8,40
3/4/2024,423.273,3.919194444,Nugali,Brazil,108,16.91,24.7,89
3/4/2024,122.318,2.44636,Wray Farms,United Kingdom,50,8.96,4.3,50
3/4/2024,1910.191,3.766892132,siris-D-500kW,Greece,507.1,13.67,10,56
3/4/2024,61.596,0.947630769,Feuerwehr,Switzerland,65,7.4,6.3,90
3/4/2024,990,1.962825279,Pentaari,Greece,504.375,12.95,7,59
3/4/2024,2030.221,4.838121679,MAWC,Maldives,419.63,25.64,28.6,20
3/4/2024,1654.577,6.547075815,Wannon Water,Australia,252.72,24.62,16.4,41
3/4/2024,154.483,1.682821351,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,10.2,7,97
3/4/2024,965.37,1.936860479,Schipper Power- Three,Netherlands,498.42,10.63,7.4,58
3/5/2024,511.905,1.009475449,siris-D-500kW,Greece,507.1,4.09,9.5,94
