time,shortwave_radiation_sum (MJ/m²),cloud_cover_mean (%),temperature_2m_mean (°C),System Name
2/14/2024,21.51,44,28.3,MAWC
2/15/2024,23.73,54,28.4,MAWC
2/16/2024,16.39,97,27.2,MAWC
2/17/2024,20.7,97,27.7,MAWC
2/18/2024,19.54,68,28.3,MAWC
2/19/2024,24.37,50,29,MAWC
2/20/2024,22.99,41,28.7,MAWC
2/21/2024,18.63,63,28.2,MAWC
2/22/2024,18.82,74,28.1,MAWC
2/23/2024,25.02,77,28.5,MAWC
2/24/2024,25.08,60,28.7,MAWC
2/25/2024,25.71,18,28.8,MAWC
2/26/2024,24.92,87,28.9,MAWC
2/27/2024,24.07,98,28.2,MAWC
2/28/2024,23.9,79,28.5,MAWC
2/29/2024,23.13,77,28.3,MAWC
3/1/2024,12.39,99,28.7,MAWC
3/2/2024,8.48,98,27.3,MAWC
3/3/2024,24.29,31,28.5,MAWC
3/4/2024,25.64,20,28.6,MAWC
3/5/2024,26.13,41,28.3,MAWC
3/6/2024,23.85,89,28.9,MAWC
3/7/2024,25.83,50,28.5,MAWC
3/8/2024,25.66,66,28.5,MAWC
3/9/2024,25.26,55,28.7,MAWC
3/10/2024,24.56,22,29.1,MAWC
3/11/2024,26.33,4,28.7,MAWC
3/12/2024,24.42,70,28.7,MAWC
3/13/2024,26.13,7,28.6,MAWC
3/14/2024,26.18,8,28.6,MAWC
3/15/2024,25.56,19,28.9,MAWC
3/16/2024,26.02,13,28.8,MAWC
3/17/2024,25.29,20,28.4,MAWC
3/18/2024,25.84,17,28.5,MAWC
3/19/2024,26.42,16,28.8,MAWC
3/20/2024,25.98,22,28.9,MAWC
3/21/2024,25.06,30,29.4,MAWC
3/22/2024,24.4,41,28.4,MAWC
3/23/2024,24.89,32,28.4,MAWC
3/24/2024,25.07,45,28.8,MAWC
3/25/2024,21.95,76,28.6,MAWC
3/26/2024,21.43,94,28.4,MAWC
3/27/2024,23.88,82,28.3,MAWC
3/28/2024,24.47,77,28.7,MAWC
3/29/2024,24.84,78,28.8,MAWC
3/30/2024,25.16,28,29.2,MAWC
3/31/2024,25.56,12,28.7,MAWC
4/1/2024,25.81,19,29.6,MAWC
4/2/2024,26.15,66,29.8,MAWC
4/3/2024,25.42,70,30,MAWC
4/4/2024,21.85,84,27.4,MAWC
4/5/2024,14.77,87,27.8,MAWC
4/6/2024,24.17,74,29,MAWC
4/7/2024,20.57,88,28.4,MAWC
4/8/2024,24.25,85,28.9,MAWC
4/9/2024,25.41,44,29.4,MAWC
4/10/2024,25.19,94,30.2,MAWC
4/11/2024,24.53,34,29.5,MAWC
4/12/2024,24.76,76,28.3,MAWC
4/13/2024,14.47,96,27.3,MAWC
4/14/2024,18.87,99,28.7,MAWC
4/15/2024,22.2,91,28.3,MAWC
4/16/2024,15.76,100,27.6,MAWC
4/17/2024,21.78,72,28.7,MAWC
4/18/2024,25.02,48,29.4,MAWC
4/19/2024,24.24,31,29.8,MAWC
4/20/2024,24.22,62,29.3,MAWC
4/21/2024,22.7,64,28.9,MAWC
4/22/2024,24.87,70,29.5,MAWC
4/23/2024,24.13,78,29.9,MAWC
4/24/2024,23.52,56,28.2,MAWC
4/25/2024,24.3,89,29.2,MAWC
4/26/2024,23.82,53,29.6,MAWC
4/27/2024,22.89,98,28.4,MAWC
4/28/2024,18.34,98,28.9,MAWC
4/29/2024,19.79,100,27.9,MAWC
4/30/2024,12.48,100,28.4,MAWC
5/1/2024,22.78,87,29.5,MAWC
5/2/2024,23.71,91,29.8,MAWC
5/3/2024,23.9,31,30.3,MAWC
5/4/2024,23.4,29,29.7,MAWC
5/5/2024,24.27,87,29.9,MAWC
5/6/2024,22.17,69,29.4,MAWC
5/7/2024,22.54,67,29.1,MAWC
5/8/2024,11.85,99,28.2,MAWC
5/9/2024,17.14,95,28.9,MAWC
5/10/2024,17.31,100,29,MAWC
5/11/2024,23.48,95,29.3,MAWC
5/12/2024,20.46,99,28.5,MAWC
5/13/2024,17.05,99,28,MAWC
5/14/2024,7.66,100,28.8,MAWC
5/15/2024,20.13,94,29.2,MAWC
5/16/2024,21.26,99,28.7,MAWC
5/17/2024,17.08,98,28.4,MAWC
5/18/2024,9.74,100,29,MAWC
5/19/2024,15.16,98,28.5,MAWC
5/20/2024,18.3,99,28.8,MAWC
5/21/2024,22.26,73,29,MAWC
5/22/2024,10.71,100,27.9,MAWC
5/23/2024,10.88,100,27.8,MAWC
5/24/2024,17.24,100,28,MAWC
5/25/2024,18.21,100,28.2,MAWC
5/26/2024,21.99,93,28.9,MAWC
5/27/2024,18.23,100,28,MAWC
5/28/2024,11.57,100,28.4,MAWC
5/29/2024,16.27,100,29.1,MAWC
5/30/2024,10.11,100,29.6,MAWC
5/31/2024,24.09,82,29.5,MAWC
6/1/2024,22.1,93,29.2,MAWC
6/2/2024,21.28,97,29.4,MAWC
6/3/2024,22.8,94,29,MAWC
6/4/2024,23.89,70,29,MAWC
6/5/2024,24,44,29.4,MAWC
6/6/2024,24.06,40,28.9,MAWC
6/7/2024,19.77,97,28.4,MAWC
6/8/2024,19.38,87,28.6,MAWC
6/9/2024,18.15,100,29,MAWC
6/10/2024,22.02,87,29.2,MAWC
6/11/2024,21.63,76,29,MAWC
6/12/2024,21.83,87,29.1,MAWC
6/13/2024,22.17,100,29.1,MAWC
6/14/2024,21.87,75,29.1,MAWC
6/15/2024,18.85,93,28.4,MAWC
6/16/2024,22.88,67,29,MAWC
6/17/2024,22.17,27,28.6,MAWC
6/18/2024,22,80,29.4,MAWC
6/19/2024,22.95,96,29.3,MAWC
6/20/2024,20.98,98,29.7,MAWC
6/21/2024,21.1,98,28.2,MAWC
6/22/2024,15.94,100,27.6,MAWC
6/23/2024,17.61,100,28,MAWC
6/24/2024,14.79,100,28,MAWC
6/25/2024,14.03,100,29.1,MAWC
6/26/2024,9.51,100,28.1,MAWC
6/27/2024,21.45,74,29.2,MAWC
6/28/2024,22.51,68,28.9,MAWC
6/29/2024,21.99,55,28.9,MAWC
6/30/2024,21.52,56,28.6,MAWC
7/1/2024,21.39,95,28.8,MAWC
7/2/2024,23.23,87,29,MAWC
7/3/2024,20.75,79,27.7,MAWC
7/4/2024,20.22,100,28.8,MAWC
7/5/2024,19.4,83,28.2,MAWC
7/6/2024,20.89,94,28.4,MAWC
7/7/2024,22.47,92,28.5,MAWC
7/8/2024,13.15,100,27.9,MAWC
7/9/2024,21.97,78,29,MAWC
7/10/2024,22.91,18,29.1,MAWC
7/11/2024,18.57,54,29,MAWC
7/12/2024,20.44,74,29.2,MAWC
7/13/2024,16.25,84,29.1,MAWC
7/14/2024,22.37,92,29.1,MAWC
7/15/2024,20.24,98,29.3,MAWC
7/16/2024,12.32,100,27.8,MAWC
7/17/2024,22.01,85,29.4,MAWC
7/18/2024,21.02,98,29,MAWC
7/19/2024,19.95,100,29.2,MAWC
7/20/2024,21.37,100,28.9,MAWC
7/21/2024,22.11,82,28.3,MAWC
7/22/2024,20.41,97,28.6,MAWC
7/23/2024,22.18,90,28.2,MAWC
7/24/2024,22.78,61,27.8,MAWC
7/25/2024,22.41,83,28.1,MAWC
7/26/2024,16.93,96,27.9,MAWC
7/27/2024,18.59,96,28.8,MAWC
7/28/2024,20.3,100,27.9,MAWC
7/29/2024,22.06,100,29.2,MAWC
7/30/2024,18.48,100,29.1,MAWC
7/31/2024,19.45,98,29.3,MAWC
8/1/2024,16.81,99,28.6,MAWC
8/2/2024,21.91,100,29.4,MAWC
8/3/2024,21.8,83,29.1,MAWC
8/4/2024,19.04,85,27.5,MAWC
8/5/2024,8.79,97,27.5,MAWC
8/6/2024,21.85,99,28.6,MAWC
8/7/2024,19.82,88,26.8,MAWC
8/8/2024,12.74,100,28.4,MAWC
8/9/2024,23.24,77,28.7,MAWC
8/10/2024,23.21,34,29.1,MAWC
8/11/2024,13.11,89,27.4,MAWC
8/12/2024,14,99,27,MAWC
8/13/2024,5.24,100,26.9,MAWC
8/14/2024,23.36,86,27.9,MAWC
8/15/2024,16.44,98,27.2,MAWC
8/16/2024,7.24,100,27.6,MAWC
8/17/2024,8.28,100,27.4,MAWC
8/18/2024,22.04,93,27.5,MAWC
8/19/2024,19.99,99,27.3,MAWC
8/20/2024,13.46,100,26.5,MAWC
8/21/2024,10.96,100,27.1,MAWC
8/22/2024,19.17,98,27.8,MAWC
8/23/2024,23.14,95,28,MAWC
8/24/2024,24.52,96,28.1,MAWC
8/25/2024,24.65,78,27.8,MAWC
8/26/2024,25.24,72,28,MAWC
8/27/2024,25.34,59,28.1,MAWC
8/28/2024,24.2,70,28.6,MAWC
8/29/2024,23.99,76,28.2,MAWC
8/30/2024,22.29,98,27.6,MAWC
8/31/2024,16.44,100,26.9,MAWC
9/1/2024,22.26,95,28.1,MAWC
9/2/2024,22.34,85,27.8,MAWC
9/3/2024,19.03,99,26.8,MAWC
9/4/2024,20.53,99,28,MAWC
9/5/2024,24.73,77,28.7,MAWC
9/6/2024,20.95,81,28.5,MAWC
9/7/2024,24.45,100,28.4,MAWC
9/8/2024,24.57,99,28.5,MAWC
9/9/2024,24.72,78,28.5,MAWC
9/10/2024,23.16,78,28,MAWC
9/11/2024,23.66,97,28,MAWC
9/12/2024,23.84,86,28.3,MAWC
9/13/2024,18.24,99,27.5,MAWC
9/14/2024,25.01,50,27.8,MAWC
9/15/2024,24.18,82,28.5,MAWC
9/16/2024,24.59,61,28.3,MAWC
9/17/2024,22.31,60,27.5,MAWC
9/18/2024,15.58,93,26.8,MAWC
9/19/2024,23.21,68,27.4,MAWC
9/20/2024,25.32,49,27.8,MAWC
9/21/2024,20.85,97,26.8,MAWC
9/22/2024,12.27,100,26.6,MAWC
9/23/2024,21.99,90,27.7,MAWC
9/24/2024,25.3,73,28.4,MAWC
9/25/2024,19.99,74,27.3,MAWC
9/26/2024,8.31,100,26.9,MAWC
9/27/2024,20.34,84,28.3,MAWC
9/28/2024,20.32,78,27.8,MAWC
9/29/2024,22.29,96,27.6,MAWC
9/30/2024,10.64,99,26.5,MAWC
10/1/2024,20.73,86,27,MAWC
10/2/2024,24.34,97,27.8,MAWC
10/3/2024,24.39,81,28.1,MAWC
10/4/2024,24.36,62,28.8,MAWC
10/5/2024,22.05,69,27.6,MAWC
10/6/2024,13.12,100,27.5,MAWC
10/7/2024,11.07,100,27.7,MAWC
10/8/2024,19.75,91,27.9,MAWC
10/9/2024,15.28,100,27.3,MAWC
10/10/2024,13.71,100,27.7,MAWC
10/11/2024,6.54,100,27,MAWC
10/12/2024,15.17,99,27.6,MAWC
10/13/2024,22.86,95,27.2,MAWC
10/14/2024,20.88,90,27.1,MAWC
10/15/2024,23.09,75,27.7,MAWC
10/16/2024,24,72,28.5,MAWC
10/17/2024,24.69,31,28.3,MAWC
10/18/2024,24.8,13,28.1,MAWC
10/19/2024,24.02,48,28.3,MAWC
10/20/2024,24.21,21,28.1,MAWC
10/21/2024,24.04,52,28.2,MAWC
10/22/2024,25.34,48,28.6,MAWC
10/23/2024,24.03,74,28.4,MAWC
10/24/2024,21.63,76,27.1,MAWC
10/25/2024,18.56,92,27.5,MAWC
10/26/2024,22.77,79,28.5,MAWC
10/27/2024,24.29,51,28.7,MAWC
10/28/2024,24.43,77,29.1,MAWC
10/29/2024,24.34,80,29,MAWC
10/30/2024,22.52,69,28.3,MAWC
10/31/2024,21.94,41,27.7,MAWC
11/1/2024,23.85,24,28.3,MAWC
11/2/2024,23.98,58,27.1,MAWC
11/3/2024,19.68,68,26.6,MAWC
11/4/2024,15.11,96,26.3,MAWC
11/5/2024,20.71,69,26.7,MAWC
11/6/2024,22.45,46,26.8,MAWC
11/7/2024,23.8,82,28.5,MAWC
11/8/2024,20.94,86,27.1,MAWC
11/9/2024,19.97,71,26.9,MAWC
11/10/2024,22.13,64,27.7,MAWC
11/11/2024,23.59,26,27.4,MAWC
11/12/2024,22.93,70,28.4,MAWC
11/13/2024,22.19,61,29.1,MAWC
11/14/2024,22.92,53,28.8,MAWC
11/15/2024,23.08,60,28.6,MAWC
11/16/2024,13.34,89,27.9,MAWC
11/17/2024,18.22,84,26.2,MAWC
11/18/2024,9.6,100,26.3,MAWC
11/19/2024,7.11,100,26.2,MAWC
11/20/2024,12.15,100,26.4,MAWC
11/21/2024,13.6,96,27,MAWC
11/22/2024,14.48,100,26.9,MAWC
11/23/2024,17.37,93,26.8,MAWC
11/24/2024,16.99,87,26.9,MAWC
11/25/2024,11.18,97,27,MAWC
11/26/2024,16.86,97,27.8,MAWC
11/27/2024,17.05,95,28.7,MAWC
11/28/2024,18.43,90,29,MAWC
11/29/2024,19.92,92,29.1,MAWC
11/30/2024,17.42,99,28.1,MAWC
12/1/2024,20.15,78,29.2,MAWC
12/2/2024,22.58,49,28.8,MAWC
12/3/2024,21.65,63,28.8,MAWC
12/4/2024,22.71,10,28.9,MAWC
12/5/2024,22.65,62,28.8,MAWC
12/6/2024,21.9,90,28.8,MAWC
12/7/2024,21.29,76,28.7,MAWC
12/8/2024,22.84,42,28.9,MAWC
12/9/2024,20.55,61,27.3,MAWC
12/10/2024,22.84,83,28.3,MAWC
12/11/2024,22.41,54,28.6,MAWC
12/12/2024,21.88,58,28.8,MAWC
12/13/2024,21.59,28,29,MAWC
12/14/2024,20.72,59,28.6,MAWC
12/15/2024,19.83,78,26.8,MAWC
12/16/2024,18.8,92,26.8,MAWC
12/17/2024,2.73,99,26.4,MAWC
12/18/2024,16.53,82,27.6,MAWC
12/19/2024,21.18,59,28.6,MAWC
12/20/2024,12.35,92,27,MAWC
12/21/2024,4.14,100,26.9,MAWC
12/22/2024,20.07,51,27.9,MAWC
12/23/2024,21.75,55,27.9,MAWC
12/24/2024,21.56,36,28.2,MAWC
12/25/2024,21.43,68,28.2,MAWC
12/26/2024,20.28,69,28.2,MAWC
12/27/2024,23.05,67,28.2,MAWC
12/28/2024,22.39,71,28,MAWC
12/29/2024,19.85,71,27.3,MAWC
12/30/2024,22.44,44,27.4,MAWC
12/31/2024,17.08,84,26.4,MAWC
1/1/2025,8.75,97,26.5,MAWC
1/2/2025,5.26,100,26.8,MAWC
1/3/2025,10.68,100,26.3,MAWC
