Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW)
2023-12-24,10.219,0.20438,Wray Farms,United Kingdom,50.0
2023-12-25,14.522,0.29044,Wray Farms,United Kingdom,50.0
2023-12-26,43.366,0.86732,Wray Farms,United Kingdom,50.0
2023-12-27,2.788,0.05576,Wray Farms,United Kingdom,50.0
2023-12-28,24.289,0.48578,Wray Farms,United Kingdom,50.0
2023-12-29,33.55,0.671,Wray Farms,United Kingdom,50.0
2023-12-30,9.8,0.196,Wray Farms,United Kingdom,50.0
2023-12-31,23.775,0.4755,Wray Farms,United Kingdom,50.0
2024-01-01,42.578,0.85156,Wray Farms,United Kingdom,50.0
2024-01-02,3.054,0.06108,Wray Farms,United Kingdom,50.0
2024-01-03,24.054,0.48108,Wray Farms,United Kingdom,50.0
2024-01-04,41.226,0.82452,Wray Farms,United Kingdom,50.0
2024-01-05,19.636,0.39272,Wray Farms,United Kingdom,50.0
2024-01-06,32.203,0.64406,Wray Farms,United Kingdom,50.0
2024-01-07,31.656,0.63312,Wray Farms,United Kingdom,50.0
2024-01-08,7.478,0.14956,Wray Farms,United Kingdom,50.0
2024-01-09,81.959,1.63918,Wray Farms,United Kingdom,50.0
2024-01-10,28.788,0.57576,Wray Farms,United Kingdom,50.0
2024-01-11,9.74,0.1948,Wray Farms,United Kingdom,50.0
2024-01-12,15.106,0.30212,Wray Farms,United Kingdom,50.0
2024-01-13,74.688,1.49376,Wray Farms,United Kingdom,50.0
2024-01-14,28.957,0.57914,Wray Farms,United Kingdom,50.0
2024-01-15,88.244,1.76488,Wray Farms,United Kingdom,50.0
2024-01-16,46.111,0.92222,Wray Farms,United Kingdom,50.0
2024-01-17,53.323,1.06646,Wray Farms,United Kingdom,50.0
2024-01-18,88.427,1.76854,Wray Farms,United Kingdom,50.0
2024-01-19,84.876,1.69752,Wray Farms,United Kingdom,50.0
2024-01-20,20.058,0.40116,Wray Farms,United Kingdom,50.0
2024-01-21,34.995,0.6999,Wray Farms,United Kingdom,50.0
2024-01-22,61.755,1.2351,Wray Farms,United Kingdom,50.0
2024-01-23,8.75,0.175,Wray Farms,United Kingdom,50.0
2024-01-24,39.633,0.79266,Wray Farms,United Kingdom,50.0
2024-01-25,25.795,0.5159,Wray Farms,United Kingdom,50.0
2024-01-26,97.289,1.94578,Wray Farms,United Kingdom,50.0
2024-01-27,51.521,1.03042,Wray Farms,United Kingdom,50.0
2024-01-28,69.366,1.38732,Wray Farms,United Kingdom,50.0
2024-01-29,22.285,0.4457,Wray Farms,United Kingdom,50.0
2024-01-30,26.828,0.53656,Wray Farms,United Kingdom,50.0
2024-01-31,34.361,0.68722,Wray Farms,United Kingdom,50.0
2024-02-01,90.722,1.81444,Wray Farms,United Kingdom,50.0
2024-02-02,70.661,1.41322,Wray Farms,United Kingdom,50.0
2024-02-03,47.971,0.95942,Wray Farms,United Kingdom,50.0
2024-02-04,41.12,0.8224,Wray Farms,United Kingdom,50.0
2024-02-05,27.416,0.54832,Wray Farms,United Kingdom,50.0
2024-02-06,26.011,0.52022,Wray Farms,United Kingdom,50.0
2024-02-07,49.389,0.98778,Wray Farms,United Kingdom,50.0
2024-02-08,9.99,0.1998,Wray Farms,United Kingdom,50.0
2024-02-09,21.387,0.42774,Wray Farms,United Kingdom,50.0
2024-02-10,16.881,0.33762,Wray Farms,United Kingdom,50.0
2024-02-11,39.171,0.78342,Wray Farms,United Kingdom,50.0
2024-02-12,128.606,2.57212,Wray Farms,United Kingdom,50.0
2024-02-13,29.12,0.5824,Wray Farms,United Kingdom,50.0
2024-02-14,47.613,0.95226,Wray Farms,United Kingdom,50.0
2024-02-15,54.174,1.08348,Wray Farms,United Kingdom,50.0
2024-02-16,84.512,1.69024,Wray Farms,United Kingdom,50.0
2024-02-17,33.282,0.66564,Wray Farms,United Kingdom,50.0
2024-02-18,59.312,1.18624,Wray Farms,United Kingdom,50.0
2024-02-19,111.093,2.22186,Wray Farms,United Kingdom,50.0
2024-02-20,78.72,1.5744,Wray Farms,United Kingdom,50.0
2024-02-21,20.736,0.41472,Wray Farms,United Kingdom,50.0
2024-02-22,16.19,0.3238,Wray Farms,United Kingdom,50.0
2024-02-22,423.541,3.921675926,Nugali,Brazil,108.0
2024-02-23,572.466,5.300611111,Nugali,Brazil,108.0
2024-02-23,2101.483,4.144119503,siris-D-500kW,Greece,507.1
2024-02-23,115.487,2.30974,Wray Farms,United Kingdom,50.0
2024-02-24,476.083,4.408175926,Nugali,Brazil,108.0
2024-02-24,2564.958,5.058091106,siris-D-500kW,Greece,507.1
2024-02-24,135.737,2.71474,Wray Farms,United Kingdom,50.0
2024-02-25,493.59,0.990309378,Schipper Power- Three,Netherlands,498.42
2024-02-25,137.511,2.115553846,Feuerwehr,Switzerland,65.0
2024-02-25,112.493,2.24986,Wray Farms,United Kingdom,50.0
2024-02-25,1006.772,1.985352002,siris-D-500kW,Greece,507.1
2024-02-25,134.42,1.24462963,Nugali,Brazil,108.0
2024-02-26,787.898,1.553732992,siris-D-500kW,Greece,507.1
2024-02-26,126.581,1.378877996,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-02-26,719.0,1.424509891,Pentaari,Greece,504.375
2024-02-26,1329.382,5.26029598,Wannon Water,Australia,252.72
2024-02-26,428.96,0.860639621,Schipper Power- Three,Netherlands,498.42
2024-02-26,110.836,2.21672,Wray Farms,United Kingdom,50.0
2024-02-26,59.781,0.919707692,Feuerwehr,Switzerland,65.0
2024-02-26,2061.171,4.91187713,MAWC,Maldives,419.63
