Date,Generated,Efficiency
9/5/2024,507.159,3.311734361
9/4/2024,491.772,3.211257673
9/3/2024,346.601,2.263295024
9/2/2024,258.547,1.688304819
9/1/2024,0,0
8/31/2024,515.072,3.363406034
8/30/2024,451.18,2.946193026
8/29/2024,269.368,1.758965652
8/28/2024,605.264,3.95235732
8/27/2024,542.95,3.545448609
8/26/2024,543.48,3.548909495
8/25/2024,0,0
8/24/2024,418.815,2.734850464
8/23/2024,587.349,3.835372861
8/22/2024,656.377,4.286123808
8/21/2024,429.23,2.802860128
8/20/2024,465.63,3.04055113
8/19/2024,546.766,3.570366984
8/18/2024,0,0
8/17/2024,549.337,3.587155544
8/16/2024,619.328,4.044194854
8/15/2024,682.529,4.456895651
8/14/2024,583.524,3.810395716
8/13/2024,565.85,3.694984981
8/10/2024,692.727,4.523488311
8/9/2024,521.939,3.408247355
8/8/2024,402.105,2.625734622
8/7/2024,588.27,3.841386966
8/6/2024,627.23,4.095794698
8/5/2024,615.731,4.020706543
8/4/2024,0,0
8/3/2024,374.047,2.442516651
8/2/2024,346.259,2.261061774
8/1/2024,438.004,2.860154107
7/31/2024,389.516,2.543528797
7/30/2024,392.548,2.563327674
7/27/2024,396.991,2.592340342
7/26/2024,349.145,2.279907274
7/25/2024,299.984,1.958887293
7/24/2024,383.406,2.503630665
