Date,Generated,Efficiency
6/1/2024,429.954,2.807587828
5/31/2024,554.098,3.618244743
5/30/2024,610.336,3.985477341
5/29/2024,553.367,3.613471333
5/28/2024,475.476,3.10484524
5/27/2024,594.728,3.883557529
5/26/2024,0,0
5/25/2024,560.305,3.658776283
5/24/2024,421.023,2.749268643
5/23/2024,238.396,1.556719342
5/22/2024,568.168,3.710121457
5/21/2024,382.038,2.494697662
5/20/2024,530.132,3.461747421
5/19/2024,0,0
5/18/2024,412.254,2.692007314
5/17/2024,580.698,3.791942014
5/16/2024,395.954,2.585568761
5/15/2024,582.574,3.804192242
5/14/2024,594.826,3.884197466
5/13/2024,384.074,2.507992686
5/12/2024,462.329,3.01899569
5/11/2024,351.964,2.298315267
5/10/2024,604.677,3.948524226
5/9/2024,484.094,3.161120543
5/8/2024,588.382,3.842118323
5/7/2024,59.795,0.39045971
5/6/2024,490.61,3.203669845
5/5/2024,0,0
5/4/2024,501.514,3.274872666
5/3/2024,625.482,4.084380306
5/2/2024,597.586,3.902220191
5/1/2024,0,0
4/30/2024,607.4,3.966305342
4/29/2024,487.386,3.182617213
4/28/2024,0,0
4/27/2024,422.684,2.760114928
4/26/2024,614.777,4.014476949
4/25/2024,631.72,4.125114275
4/24/2024,579.062,3.781258979
4/23/2024,566.903,3.701861042
