Date,Generated,Efficiency
4/22/2024,562.120kWh,3.670628183
4/21/2024,0.000kWh,0
4/20/2024,608.296kWh,3.972156197
4/19/2024,601.954kWh,3.930743111
4/18/2024,611.444kWh,3.992712551
4/12/2024,213.400kWh,1.393496147
4/11/2024,490.515kWh,3.203049497
4/10/2024,374.443kWh,2.445102521
4/9/2024,559.412kWh,3.652945018
4/8/2024,601.825kWh,3.929900744
4/7/2024,0.000kWh,0
4/6/2024,506.668kWh,3.308528144
4/5/2024,553.705kWh,3.615678464
4/4/2024,490.554kWh,3.203304166
4/3/2024,549.104kWh,3.58563406
4/2/2024,619.503kWh,4.0453376
4/1/2024,618.024kWh,4.03567977
3/31/2024,0.000kWh,0
3/30/2024,685.259kWh,4.474722476
3/29/2024,627.548kWh,4.097871229
3/28/2024,519.511kWh,3.392392582
3/27/2024,565.109kWh,3.690146271
3/26/2024,543.187kWh,3.546996213
3/25/2024,610.483kWh,3.986437247
3/24/2024,0.000kWh,0
3/23/2024,633.573kWh,4.137214314
3/22/2024,615.047kWh,4.016240042
3/21/2024,441.755kWh,2.884648034
3/20/2024,69.419kWh,0.453304166
3/19/2024,537.356kWh,3.508919943
3/18/2024,625.879kWh,4.086972705
3/17/2024,0.000kWh,0
3/16/2024,300.377kWh,1.961453572
3/15/2024,596.695kWh,3.896401985
3/14/2024,607.495kWh,3.966925689
3/13/2024,474.079kWh,3.095722868
3/12/2024,453.678kWh,2.962504897
3/11/2024,447.484kWh,2.922058247
3/10/2024,0.000kWh,0
3/9/2024,398.710kWh,2.603565365
