Date,Generated,Efficiency
5/1/2024,436.848kWh,3.883093333
4/30/2024,363.754kWh,3.233368889
4/29/2024,365.744kWh,3.251057778
4/28/2024,572.408kWh,5.088071111
4/27/2024,541.182kWh,4.810506667
4/26/2024,728.738kWh,6.477671111
4/25/2024,757.083kWh,6.729626667
4/24/2024,371.771kWh,3.304631111
4/23/2024,654.822kWh,5.82064
4/22/2024,656.117kWh,5.832151111
4/21/2024,329.052kWh,2.924906667
4/20/2024,369.243kWh,3.28216
4/19/2024,386.298kWh,3.43376
4/18/2024,133.378kWh,1.185582222
4/17/2024,562.655kWh,5.001377778
4/16/2024,681.428kWh,6.057137778
4/15/2024,576.512kWh,5.124551111
4/14/2024,194.119kWh,1.725502222
4/13/2024,372.575kWh,3.311777778
4/12/2024,160.918kWh,1.430382222
4/11/2024,134.726kWh,1.197564444
4/10/2024,216.417kWh,1.923706667
4/9/2024,630.250kWh,5.602222222
4/8/2024,448.967kWh,3.990817778
4/7/2024,695.594kWh,6.183057778
4/6/2024,378.148kWh,3.361315556
4/5/2024,356.420kWh,3.168177778
4/4/2024,183.518kWh,1.631271111
4/3/2024,105.302kWh,0.936017778
4/2/2024,257.521kWh,2.289075556
4/1/2024,472.923kWh,4.20376
3/31/2024,465.356kWh,4.136497778
3/30/2024,685.087kWh,6.089662222
3/29/2024,591.417kWh,5.25704
3/28/2024,110.180kWh,0.979377778
3/27/2024,173.529kWh,1.54248
3/26/2024,37.094kWh,0.329724444
3/25/2024,14.150kWh,0.125777778
3/24/2024,2.620kWh,0.023288889
3/23/2024,0.070kWh,0.000622222
