Date,Generated,Efficiency
6/21/2024,"2,903.658kWh",5.726006705
6/20/2024,"3,127.770kWh",6.167955038
6/19/2024,"3,174.908kWh",6.260911063
6/18/2024,"3,177.949kWh",6.266907908
6/17/2024,"3,150.851kWh",6.213470716
6/16/2024,"3,282.481kWh",6.473044764
6/15/2024,"3,258.253kWh",6.425267206
6/14/2024,"3,120.094kWh",6.152817985
6/13/2024,"1,990.887kWh",3.926024453
6/12/2024,"3,178.397kWh",6.267791363
6/11/2024,"2,988.301kWh",5.8929225
6/10/2024,"2,874.507kWh",5.668521002
6/9/2024,"2,696.614kWh",5.317716427
6/8/2024,"2,970.258kWh",5.857341747
6/7/2024,"3,029.483kWh",5.974133307
6/6/2024,"2,705.455kWh",5.335150858
6/5/2024,"3,180.801kWh",6.272532045
6/4/2024,"3,228.518kWh",6.366629856
6/3/2024,"2,746.804kWh",5.416690988
6/2/2024,"2,915.855kWh",5.75005916
6/1/2024,"3,292.500kWh",6.492802209
5/31/2024,"3,111.510kWh",6.135890357
5/30/2024,"3,253.784kWh",6.416454348
5/29/2024,"3,035.321kWh",5.985645829
5/28/2024,"2,806.189kWh",5.533798067
5/27/2024,"3,348.363kWh",6.602963912
5/26/2024,"3,152.423kWh",6.216570696
5/25/2024,"3,195.626kWh",6.30176691
5/24/2024,"3,354.926kWh",6.615906133
5/23/2024,"3,330.838kWh",6.568404654
5/22/2024,"3,196.192kWh",6.302883061
5/21/2024,"2,833.880kWh",5.588404654
5/20/2024,"2,790.820kWh",5.503490436
5/19/2024,"2,131.923kWh",4.204147111
5/18/2024,"3,137.692kWh",6.187521199
5/17/2024,"3,215.427kWh",6.340814435
5/16/2024,647.699kWh,1.277260895
5/15/2024,857.504kWh,1.690995859
5/14/2024,905.530kWh,1.785703017
5/13/2024,"3,312.057kWh",6.531368566
