Date,Generated,,Efficiency
4/2/2024,2290.206kWh,,4.516280812
4/1/2024,2860.918kWh,,5.641723526
3/31/2024,2438.395kWh,,4.80850917
3/30/2024,3196.320kWh,,6.303135476
3/29/2024,3204.730kWh,,6.319719976
3/28/2024,2584.831kWh,,5.097280615
3/27/2024,2127.234kWh,,4.194900414
3/26/2024,896.651kWh,,1.76819365
3/25/2024,3296.788kWh,,6.501258134
3/24/2024,2956.052kWh,,5.829327549
3/23/2024,3210.880kWh,,6.331847762
3/22/2024,3033.317kWh,,5.981693946
3/21/2024,3249.356kWh,,6.407722343
3/20/2024,3213.842kWh,,6.337688819
3/19/2024,1341.298kWh,,2.645036482
3/18/2024,3062.557kWh,,6.039355157
3/17/2024,2005.428kWh,,3.95469927
3/16/2024,2295.893kWh,,4.527495563
3/15/2024,2638.672kWh,,5.20345494
3/14/2024,2033.836kWh,,4.010719779
3/13/2024,2980.077kWh,,5.876704792
3/12/2024,1953.740kWh,,3.852770657
3/11/2024,1242.953kWh,,2.451100375
3/10/2024,975.273kWh,,1.923236048
3/9/2024,410.674kWh,,0.809848156
3/8/2024,2690.920kWh,,5.306487872
3/7/2024,879.171kWh,,1.733723132
3/6/2024,2628.005kWh,,5.182419641
3/5/2024,511.905kWh,,1.009475449
3/4/2024,1910.191kWh,,3.766892132
3/3/2024,2413.607kWh,,4.759627292
3/2/2024,1144.074kWh,,2.256111221
3/1/2024,369.755kWh,,0.729155985
2/29/2024,1575.086kWh,,3.106065865
2/28/2024,2239.964kWh,,4.417203707
2/27/2024,2627.272kWh,,5.180974167
2/26/2024,787.898kWh,,1.553732992
2/25/2024,1006.772kWh,,1.985352002
2/24/2024,2564.958kWh,,5.058091106
2/23/2024,2101.483kWh,,4.144119503
