Date,Generated,Efficiency
9/12/2024,2957,5.858519817
9/11/2024,2787,5.521709412
9/10/2024,806,1.596877569
9/9/2024,1891,3.746520451
9/8/2024,587,1.162986518
9/7/2024,2680,5.30971698
9/6/2024,2500,4.953094198
9/5/2024,2729,5.406797626
9/4/2024,2416,4.786670233
9/3/2024,2741,5.430572479
9/2/2024,2902,5.749551745
9/1/2024,2615,5.180936531
8/31/2024,2435,4.824313749
8/30/2024,399,0.790513834
8/29/2024,2727,5.402835151
8/28/2024,2553,5.058099795
8/27/2024,2960,5.86446353
8/26/2024,2289,4.535053048
8/25/2024,2804,5.555390452
8/24/2024,2966,5.876350956
8/23/2024,2929,5.803045162
8/22/2024,2914,5.773326597
8/21/2024,2566,5.083855885
8/20/2024,1770,3.506790692
8/19/2024,2103,4.166542839
8/18/2024,2358,4.671758448
8/17/2024,2617,5.184899006
8/16/2024,2642,5.234429948
8/15/2024,2869,5.684170902
8/14/2024,2957,5.858519817
8/13/2024,2906,5.757476696
8/12/2024,2935,5.814932588
8/11/2024,2958,5.860501055
8/10/2024,2977,5.898144571
8/9/2024,2915,5.775307835
8/8/2024,2977,5.898144571
8/7/2024,2934,5.812951351
8/6/2024,2949,5.842669916
8/5/2024,2509,4.970925337
8/4/2024,2560,5.071968459
