Date,Generated,Efficiency
5/15/2024,789.000kWh,1.560105589
5/14/2024,1061.000kWh,2.097936666
5/13/2024,3214.000kWh,6.355106924
5/12/2024,2920.000kWh,5.773774803
5/11/2024,2719.000kWh,5.376333455
5/10/2024,748.000kWh,1.479035463
5/9/2024,2542.000kWh,5.026347791
5/8/2024,2455.000kWh,4.854320939
5/7/2024,3232.000kWh,6.390698686
5/6/2024,3284.000kWh,6.493519333
5/5/2024,3314.000kWh,6.552838937
5/4/2024,1344.000kWh,2.657518265
5/3/2024,2742.000kWh,5.421811818
5/2/2024,2489.000kWh,4.921549824
5/1/2024,3163.000kWh,6.254263597
4/30/2024,2677.000kWh,5.293286009
4/29/2024,3273.000kWh,6.471768812
4/28/2024,3289.000kWh,6.503405934
4/27/2024,3005.000kWh,5.941847015
4/26/2024,3368.000kWh,6.659614225
4/25/2024,1390.000kWh,2.748474992
4/24/2024,3186.000kWh,6.29974196
4/23/2024,293.000kWh,0.5793548
4/22/2024,1594.000kWh,3.1518483
4/21/2024,1629.000kWh,3.221054505
4/20/2024,2856.000kWh,5.647226314
4/19/2024,2036.000kWh,4.025823801
4/18/2024,2279.000kWh,4.506312595
4/17/2024,2046.000kWh,4.045597002
4/16/2024,1713.000kWh,3.387149396
4/15/2024,3010.000kWh,5.951733615
4/14/2024,3063.000kWh,6.056531583
4/13/2024,2938.000kWh,5.809366565
4/12/2024,2976.000kWh,5.884504731
4/11/2024,3146.000kWh,6.220649154
4/10/2024,3163.000kWh,6.254263597
4/9/2024,3244.000kWh,6.414426528
4/8/2024,3047.000kWh,6.024894461
4/7/2024,1865.000kWh,3.687702057
4/6/2024,3005.000kWh,5.941847015
