Date,Generated,Efficiency,System Name,Location,System Size (kW)
1/7/2025,340.000kWh,0.674kWh/kW,Pentaari,Greece,504.375
1/6/2025,1176.000kWh,2.330kWh/kW,Pentaari,Greece,504.375
1/5/2025,568.000kWh,1.125kWh/kW,Pentaari,Greece,504.375
1/4/2025,1747.000kWh,3.461kWh/kW,Pentaari,Greece,504.375
1/3/2025,1744.000kWh,3.455kWh/kW,Pentaari,Greece,504.375
1/2/2025,2011.000kWh,3.984kWh/kW,Pentaari,Greece,504.375
1/1/2025,2100.000kWh,4.161kWh/kW,Pentaari,Greece,504.375
12/31/2024,2073.000kWh,4.107kWh/kW,Pentaari,Greece,504.375
12/30/2024,2105.000kWh,4.171kWh/kW,Pentaari,Greece,504.375
12/29/2024,1560.000kWh,3.091kWh/kW,Pentaari,Greece,504.375
12/28/2024,2059.000kWh,4.079kWh/kW,Pentaari,Greece,504.375
12/27/2024,1809.000kWh,3.584kWh/kW,Pentaari,Greece,504.375
12/26/2024,97.000kWh,0.192kWh/kW,Pentaari,Greece,504.375
12/25/2024,182.000kWh,0.361kWh/kW,Pentaari,Greece,504.375
12/24/2024,1179.000kWh,2.336kWh/kW,Pentaari,Greece,504.375
12/23/2024,560.000kWh,1.109kWh/kW,Pentaari,Greece,504.375
12/22/2024,2103.000kWh,4.167kWh/kW,Pentaari,Greece,504.375
12/21/2024,490.000kWh,0.971kWh/kW,Pentaari,Greece,504.375
12/20/2024,726.000kWh,1.438kWh/kW,Pentaari,Greece,504.375
12/19/2024,1856.000kWh,3.677kWh/kW,Pentaari,Greece,504.375
12/18/2024,2066.000kWh,4.093kWh/kW,Pentaari,Greece,504.375
12/17/2024,2093.000kWh,4.147kWh/kW,Pentaari,Greece,504.375
12/16/2024,2150.000kWh,4.260kWh/kW,Pentaari,Greece,504.375
12/15/2024,1006.000kWh,1.993kWh/kW,Pentaari,Greece,504.375
12/14/2024,762.000kWh,1.510kWh/kW,Pentaari,Greece,504.375
12/13/2024,2029.000kWh,4.020kWh/kW,Pentaari,Greece,504.375
12/12/2024,1929.000kWh,3.822kWh/kW,Pentaari,Greece,504.375
12/11/2024,2077.000kWh,4.115kWh/kW,Pentaari,Greece,504.375
12/10/2024,672.000kWh,1.331kWh/kW,Pentaari,Greece,504.375
12/9/2024,1415.000kWh,2.803kWh/kW,Pentaari,Greece,504.375
12/8/2024,1330.000kWh,2.635kWh/kW,Pentaari,Greece,504.375
12/7/2024,109.000kWh,0.216kWh/kW,Pentaari,Greece,504.375
12/6/2024,252.000kWh,0.499kWh/kW,Pentaari,Greece,504.375
12/5/2024,60.000kWh,0.119kWh/kW,Pentaari,Greece,504.375
12/4/2024,157.000kWh,0.311kWh/kW,Pentaari,Greece,504.375
12/3/2024,676.000kWh,1.339kWh/kW,Pentaari,Greece,504.375
12/2/2024,149.000kWh,0.295kWh/kW,Pentaari,Greece,504.375
12/1/2024,40.000kWh,0.079kWh/kW,Pentaari,Greece,504.375
11/30/2024,26.000kWh,0.052kWh/kW,Pentaari,Greece,504.375
11/29/2024,402.000kWh,0.796kWh/kW,Pentaari,Greece,504.375
11/28/2024,870.000kWh,1.724kWh/kW,Pentaari,Greece,504.375
11/27/2024,2035.000kWh,4.032kWh/kW,Pentaari,Greece,504.375
11/26/2024,2100.000kWh,4.161kWh/kW,Pentaari,Greece,504.375
11/25/2024,2257.000kWh,4.472kWh/kW,Pentaari,Greece,504.375
11/24/2024,2393.000kWh,4.741kWh/kW,Pentaari,Greece,504.375
11/23/2024,1666.000kWh,3.301kWh/kW,Pentaari,Greece,504.375
11/22/2024,1379.000kWh,2.732kWh/kW,Pentaari,Greece,504.375
11/21/2024,921.000kWh,1.825kWh/kW,Pentaari,Greece,504.375
11/20/2024,1435.000kWh,2.843kWh/kW,Pentaari,Greece,504.375
11/19/2024,2224.000kWh,4.406kWh/kW,Pentaari,Greece,504.375
11/18/2024,2191.000kWh,4.341kWh/kW,Pentaari,Greece,504.375
11/17/2024,2210.000kWh,4.379kWh/kW,Pentaari,Greece,504.375
11/16/2024,361.000kWh,0.715kWh/kW,Pentaari,Greece,504.375
11/15/2024,847.000kWh,1.678kWh/kW,Pentaari,Greece,504.375
11/14/2024,122.000kWh,0.242kWh/kW,Pentaari,Greece,504.375
11/13/2024,122.000kWh,0.242kWh/kW,Pentaari,Greece,504.375
11/12/2024,177.000kWh,0.351kWh/kW,Pentaari,Greece,504.375
11/11/2024,350.000kWh,0.693kWh/kW,Pentaari,Greece,504.375
11/10/2024,358.000kWh,0.709kWh/kW,Pentaari,Greece,504.375
11/9/2024,2445.000kWh,4.844kWh/kW,Pentaari,Greece,504.375
11/8/2024,2412.000kWh,4.779kWh/kW,Pentaari,Greece,504.375
11/7/2024,2266.000kWh,4.489kWh/kW,Pentaari,Greece,504.375
11/6/2024,2085.000kWh,4.131kWh/kW,Pentaari,Greece,504.375
11/5/2024,1000.000kWh,1.981kWh/kW,Pentaari,Greece,504.375
11/4/2024,1536.000kWh,3.043kWh/kW,Pentaari,Greece,504.375
11/3/2024,1283.000kWh,2.542kWh/kW,Pentaari,Greece,504.375
11/2/2024,2307.000kWh,4.571kWh/kW,Pentaari,Greece,504.375
11/1/2024,2241.000kWh,4.440kWh/kW,Pentaari,Greece,504.375
10/31/2024,2119.000kWh,4.198kWh/kW,Pentaari,Greece,504.375
10/30/2024,2047.000kWh,4.056kWh/kW,Pentaari,Greece,504.375
10/29/2024,2216.000kWh,4.390kWh/kW,Pentaari,Greece,504.375
10/28/2024,2449.000kWh,4.852kWh/kW,Pentaari,Greece,504.375
10/27/2024,2515.000kWh,4.983kWh/kW,Pentaari,Greece,504.375
10/26/2024,2320.000kWh,4.596kWh/kW,Pentaari,Greece,504.375
10/25/2024,2010.000kWh,3.982kWh/kW,Pentaari,Greece,504.375
10/24/2024,2551.000kWh,5.054kWh/kW,Pentaari,Greece,504.375
10/23/2024,2392.000kWh,4.739kWh/kW,Pentaari,Greece,504.375
10/22/2024,2459.000kWh,4.872kWh/kW,Pentaari,Greece,504.375
10/21/2024,2492.000kWh,4.937kWh/kW,Pentaari,Greece,504.375
10/20/2024,289.000kWh,0.573kWh/kW,Pentaari,Greece,504.375
10/19/2024,76.000kWh,0.151kWh/kW,Pentaari,Greece,504.375
10/18/2024,1036.000kWh,2.053kWh/kW,Pentaari,Greece,504.375
10/17/2024,717.000kWh,1.421kWh/kW,Pentaari,Greece,504.375
10/16/2024,2578.000kWh,5.108kWh/kW,Pentaari,Greece,504.375
10/15/2024,2543.000kWh,5.038kWh/kW,Pentaari,Greece,504.375
10/14/2024,2361.000kWh,4.678kWh/kW,Pentaari,Greece,504.375
10/13/2024,2447.000kWh,4.848kWh/kW,Pentaari,Greece,504.375
10/12/2024,2078.000kWh,4.117kWh/kW,Pentaari,Greece,504.375
10/11/2024,1081.000kWh,2.142kWh/kW,Pentaari,Greece,504.375
10/10/2024,2390.000kWh,4.735kWh/kW,Pentaari,Greece,504.375
10/9/2024,1610.000kWh,3.190kWh/kW,Pentaari,Greece,504.375
10/8/2024,2676.000kWh,5.302kWh/kW,Pentaari,Greece,504.375
10/7/2024,2812.000kWh,5.571kWh/kW,Pentaari,Greece,504.375
10/6/2024,2187.000kWh,4.333kWh/kW,Pentaari,Greece,504.375
10/5/2024,687.000kWh,1.361kWh/kW,Pentaari,Greece,504.375
10/4/2024,293.000kWh,0.581kWh/kW,Pentaari,Greece,504.375
10/3/2024,2437.000kWh,4.828kWh/kW,Pentaari,Greece,504.375
10/2/2024,2872.000kWh,5.690kWh/kW,Pentaari,Greece,504.375
10/1/2024,2987.000kWh,5.918kWh/kW,Pentaari,Greece,504.375
9/30/2024,2963.000kWh,5.870kWh/kW,Pentaari,Greece,504.375
9/29/2024,1973.000kWh,3.909kWh/kW,Pentaari,Greece,504.375
9/28/2024,2688.000kWh,5.326kWh/kW,Pentaari,Greece,504.375
9/27/2024,2774.000kWh,5.496kWh/kW,Pentaari,Greece,504.375
9/26/2024,2767.000kWh,5.482kWh/kW,Pentaari,Greece,504.375
9/25/2024,2672.000kWh,5.294kWh/kW,Pentaari,Greece,504.375
9/24/2024,2359.000kWh,4.674kWh/kW,Pentaari,Greece,504.375
9/23/2024,2863.000kWh,5.672kWh/kW,Pentaari,Greece,504.375
9/22/2024,2880.000kWh,5.706kWh/kW,Pentaari,Greece,504.375
9/21/2024,2088.000kWh,4.137kWh/kW,Pentaari,Greece,504.375
9/20/2024,252.000kWh,0.499kWh/kW,Pentaari,Greece,504.375
9/19/2024,1438.000kWh,2.849kWh/kW,Pentaari,Greece,504.375
9/18/2024,648.000kWh,1.284kWh/kW,Pentaari,Greece,504.375
9/17/2024,1134.000kWh,2.247kWh/kW,Pentaari,Greece,504.375
