Date,Generated,Efficiency
4/5/2024,3092,6.125986904
4/4/2024,3203,6.345904286
4/3/2024,3160,6.260711066
4/2/2024,2214,4.386460222
4/1/2024,2467,4.887713355
3/31/2024,1965,3.89313204
3/30/2024,3160,6.260711066
3/29/2024,3126,6.193348985
3/28/2024,2623,5.196786432
3/27/2024,647,1.281860778
3/26/2024,694,1.374978949
3/25/2024,2215,4.388441459
3/24/2024,3026,5.995225217
3/23/2024,3144,6.229011263
3/22/2024,2877,5.700020803
3/21/2024,3198,6.335998098
3/20/2024,3185,6.310242008
3/19/2024,1230,2.436922345
3/18/2024,3110,6.161649182
3/17/2024,2177,4.313154428
3/16/2024,2264,4.485522106
3/15/2024,2592,5.135368064
3/14/2024,2034,4.029837439
3/13/2024,2779,5.50585951
3/12/2024,1448,2.868832159
3/11/2024,733,1.452247219
3/10/2024,1695,3.358197866
3/9/2024,1006,1.993125105
3/8/2024,2645,5.240373661
3/7/2024,1613,3.195736377
3/6/2024,2581,5.11357445
3/5/2024,572,1.133267952
3/4/2024,990,1.961425302
3/3/2024,2611,5.17301158
3/2/2024,2265,4.487503343
3/1/2024,0.08,0.000158499
2/29/2024,1285,2.545890418
2/28/2024,403,0.798438785
2/27/2024,2261,4.479578393
2/26/2024,719,1.424509891
