Date,Generated,Efficiency
4/8/2024,142.553,2.85106
4/7/2024,153.523,3.07046
4/6/2024,137.537,2.75074
4/5/2024,141.413,2.82826
4/4/2024,61.849,1.23698
4/3/2024,76.053,1.52106
4/2/2024,158.879,3.17758
4/1/2024,100.743,2.01486
3/31/2024,105.905,2.1181
3/30/2024,176.919,3.53838
3/29/2024,147.124,2.94248
3/28/2024,103.657,2.07314
3/27/2024,145.188,2.90376
3/26/2024,151.656,3.03312
3/25/2024,74.782,1.49564
3/24/2024,137.928,2.75856
3/23/2024,165.429,3.30858
3/22/2024,127.546,2.55092
3/21/2024,84.686,1.69372
3/20/2024,62.753,1.25506
3/19/2024,107.541,2.15082
3/18/2024,133.387,2.66774
3/17/2024,77.256,1.54512
3/16/2024,128.698,2.57396
3/15/2024,108.757,2.17514
3/14/2024,70.462,1.40924
3/13/2024,70.31,1.4062
3/12/2024,46.296,0.92592
3/11/2024,20.533,0.41066
3/10/2024,21.455,0.4291
3/9/2024,157.545,3.1509
3/8/2024,142.501,2.85002
3/7/2024,32.051,0.64102
3/6/2024,84.582,1.69164
3/5/2024,42.5,0.85
3/4/2024,122.318,2.44636
3/3/2024,77.301,1.54602
3/2/2024,77.794,1.55588
3/1/2024,54.139,1.08278
2/29/2024,31.899,0.63798
