Date,Generated,Efficiency
12/10/2023,7.707kWh,0.15414
12/9/2023,16.430kWh,0.3286
12/8/2023,46.977kWh,0.93954
12/7/2023,7.994kWh,0.15988
12/6/2023,69.354kWh,1.38708
12/5/2023,18.319kWh,0.36638
12/4/2023,6.448kWh,0.12896
12/3/2023,8.263kWh,0.16526
12/2/2023,17.767kWh,0.35534
12/1/2023,52.348kWh,1.04696
11/30/2023,69.892kWh,1.39784
11/29/2023,74.661kWh,1.49322
11/28/2023,81.693kWh,1.63386
11/27/2023,7.831kWh,0.15662
11/26/2023,23.252kWh,0.46504
11/25/2023,88.496kWh,1.76992
11/24/2023,75.511kWh,1.51022
11/23/2023,49.664kWh,0.99328
11/22/2023,19.884kWh,0.39768
11/21/2023,24.325kWh,0.4865
11/20/2023,63.177kWh,1.26354
11/19/2023,36.017kWh,0.72034
11/18/2023,16.080kWh,0.3216
11/17/2023,84.958kWh,1.69916
11/16/2023,12.466kWh,0.24932
11/15/2023,81.540kWh,1.6308
11/14/2023,31.047kWh,0.62094
11/13/2023,82.961kWh,1.65922
11/12/2023,26.026kWh,0.52052
11/11/2023,106.994kWh,2.13988
11/10/2023,80.035kWh,1.6007
11/9/2023,83.688kWh,1.67376
11/8/2023,19.745kWh,0.3949
11/7/2023,81.586kWh,1.63172
11/6/2023,97.849kWh,1.95698
11/5/2023,80.812kWh,1.61624
11/4/2023,18.954kWh,0.37908
11/3/2023,87.143kWh,1.74286
11/2/2023,45.145kWh,0.9029
11/1/2023,57.169kWh,1.14338
