Date,Generated,Efficiency,System Name,Location,System Size (kW)
1/10/2025,49.039kWh,0.981kWh/kW,Wray Farms,United Kingdom,50
1/9/2025,75.264kWh,1.505kWh/kW,Wray Farms,United Kingdom,50
1/8/2025,18.521kWh,0.370kWh/kW,Wray Farms,United Kingdom,50
1/7/2025,54.104kWh,1.082kWh/kW,Wray Farms,United Kingdom,50
1/6/2025,14.878kWh,0.298kWh/kW,Wray Farms,United Kingdom,50
1/5/2025,4.814kWh,0.096kWh/kW,Wray Farms,United Kingdom,50
1/4/2025,18.526kWh,0.371kWh/kW,Wray Farms,United Kingdom,50
1/3/2025,62.231kWh,1.245kWh/kW,Wray Farms,United Kingdom,50
1/2/2025,71.815kWh,1.436kWh/kW,Wray Farms,United Kingdom,50
1/1/2025,5.525kWh,0.111kWh/kW,Wray Farms,United Kingdom,50
12/31/2024,24.460kWh,0.489kWh/kW,Wray Farms,United Kingdom,50
12/30/2024,69.898kWh,1.398kWh/kW,Wray Farms,United Kingdom,50
12/29/2024,57.190kWh,1.144kWh/kW,Wray Farms,United Kingdom,50
12/28/2024,9.560kWh,0.191kWh/kW,Wray Farms,United Kingdom,50
12/27/2024,7.854kWh,0.157kWh/kW,Wray Farms,United Kingdom,50
12/26/2024,10.707kWh,0.214kWh/kW,Wray Farms,United Kingdom,50
12/25/2024,66.444kWh,1.329kWh/kW,Wray Farms,United Kingdom,50
12/24/2024,20.309kWh,0.406kWh/kW,Wray Farms,United Kingdom,50
12/23/2024,13.440kWh,0.269kWh/kW,Wray Farms,United Kingdom,50
12/22/2024,47.586kWh,0.952kWh/kW,Wray Farms,United Kingdom,50
12/21/2024,16.672kWh,0.333kWh/kW,Wray Farms,United Kingdom,50
12/20/2024,23.378kWh,0.468kWh/kW,Wray Farms,United Kingdom,50
12/19/2024,64.561kWh,1.291kWh/kW,Wray Farms,United Kingdom,50
12/18/2024,19.969kWh,0.399kWh/kW,Wray Farms,United Kingdom,50
12/17/2024,9.611kWh,0.192kWh/kW,Wray Farms,United Kingdom,50
12/16/2024,28.911kWh,0.578kWh/kW,Wray Farms,United Kingdom,50
12/15/2024,9.474kWh,0.189kWh/kW,Wray Farms,United Kingdom,50
12/14/2024,64.706kWh,1.294kWh/kW,Wray Farms,United Kingdom,50
12/13/2024,5.602kWh,0.112kWh/kW,Wray Farms,United Kingdom,50
12/12/2024,9.389kWh,0.188kWh/kW,Wray Farms,United Kingdom,50
12/11/2024,8.266kWh,0.165kWh/kW,Wray Farms,United Kingdom,50
12/10/2024,8.549kWh,0.171kWh/kW,Wray Farms,United Kingdom,50
12/9/2024,27.186kWh,0.544kWh/kW,Wray Farms,United Kingdom,50
12/8/2024,8.167kWh,0.163kWh/kW,Wray Farms,United Kingdom,50
12/7/2024,9.900kWh,0.198kWh/kW,Wray Farms,United Kingdom,50
12/6/2024,33.595kWh,0.672kWh/kW,Wray Farms,United Kingdom,50
12/5/2024,15.777kWh,0.316kWh/kW,Wray Farms,United Kingdom,50
12/4/2024,33.326kWh,0.667kWh/kW,Wray Farms,United Kingdom,50
