Date,Generated,Efficiency
6/22/2024,338.757,3.136638889
6/21/2024,248.394,2.299944444
6/20/2024,175.874,1.628462963
6/19/2024,302.326,2.799314815
6/18/2024,310.414,2.874203704
6/17/2024,155.554,1.440314815
6/16/2024,209.372,1.93862963
6/15/2024,380.567,3.523768519
6/14/2024,367.468,3.402481481
6/13/2024,387.661,3.589453704
6/12/2024,396.827,3.674324074
6/11/2024,352.852,3.267148148
6/10/2024,374.297,3.465712963
6/9/2024,377.337,3.493861111
6/8/2024,358.177,3.316453704
6/7/2024,382.871,3.545101852
6/6/2024,337.543,3.125398148
6/5/2024,237.717,2.201083333
6/4/2024,144.256,1.335703704
6/3/2024,317.73,2.941944444
5/31/2024,15.746,0.145796296
5/30/2024,451.463,4.180212963
5/29/2024,478.113,4.426972222
5/28/2024,467.96,4.332962963
5/27/2024,74.507,0.68987963
5/26/2024,148.78,1.377592593
5/25/2024,436.619,4.042768519
5/24/2024,139.821,1.294638889
5/23/2024,344.132,3.186407407
5/22/2024,282.8,2.618518519
5/21/2024,230.171,2.131212963
5/20/2024,217.635,2.015138889
5/19/2024,61.945,0.573564815
5/18/2024,199.254,1.844944444
5/17/2024,171.23,1.585462963
5/16/2024,133.937,1.240157407
5/15/2024,157.197,1.455527778
5/13/2024,185.711,1.719546296
5/12/2024,442.869,4.100638889
