Date,Generated,Efficiency
4/1/2024,305.739,2.830916667
3/31/2024,667.056,6.176444444
3/30/2024,662.014,6.129759259
3/29/2024,661.699,6.126842593
3/28/2024,685.974,6.351611111
3/27/2024,464.5,4.300925926
3/26/2024,264.996,2.453666667
3/25/2024,562.829,5.21137963
3/24/2024,365.76,3.386666667
3/23/2024,326.897,3.026824074
3/22/2024,230.886,2.137833333
3/21/2024,432.32,4.002962963
3/20/2024,516.671,4.783990741
3/19/2024,310.292,2.873074074
3/18/2024,422.051,3.90787963
3/17/2024,419.521,3.884453704
3/16/2024,432.534,4.004944444
3/15/2024,586.146,5.427277778
3/14/2024,670.644,6.209666667
3/13/2024,686.331,6.354916667
3/12/2024,684.799,6.340731481
3/11/2024,644.226,5.965055556
3/10/2024,677.489,6.273046296
3/9/2024,484.383,4.485027778
3/8/2024,24.253,0.224564815
3/7/2024,167.536,1.551259259
3/6/2024,165.387,1.531361111
3/5/2024,129.485,1.198935185
3/4/2024,423.273,3.919194444
3/3/2024,652.92,6.045555556
3/2/2024,593.996,5.499962963
3/1/2024,627.14,5.806851852
2/29/2024,520.831,4.822509259
2/28/2024,599.404,5.550037037
2/27/2024,371.221,3.437231481
2/26/2024,253.094,2.343462963
2/25/2024,134.42,1.24462963
2/24/2024,476.083,4.408175926
2/23/2024,572.466,5.300611111
2/22/2024,423.541,3.921675926
