Date,Generated,Efficiency
6/23/2024,2512.620kWh,5.041170098
6/22/2024,2041.490kWh,4.095923117
6/21/2024,967.540kWh,1.941214237
6/20/2024,1740.200kWh,3.491432928
6/19/2024,2797.960kWh,5.613659163
6/18/2024,834.950kWh,1.675193612
6/17/2024,2345.620kWh,4.706111312
6/16/2024,1811.310kWh,3.634103768
6/15/2024,1185.010kWh,2.377533004
6/14/2024,1022.360kWh,2.051201798
6/13/2024,1832.670kWh,3.676959191
6/12/2024,1868.050kWh,3.747943501
6/11/2024,2257.130kWh,4.528570282
6/10/2024,661.800kWh,1.327795835
6/9/2024,2106.330kWh,4.226014205
6/8/2024,1608.860kWh,3.227920228
6/7/2024,2023.060kWh,4.05894627
6/6/2024,1842.960kWh,3.69760443
6/5/2024,2509.560kWh,5.035030697
6/4/2024,1318.560kWh,2.645479716
6/3/2024,1355.820kWh,2.720235946
6/2/2024,951.210kWh,1.908450704
6/1/2024,561.110kWh,1.125777457
5/31/2024,1732.100kWh,3.475181574
5/30/2024,1844.750kWh,3.701195779
5/29/2024,1430.340kWh,2.869748405
5/28/2024,1769.830kWh,3.550880783
5/27/2024,1500.060kWh,3.009630432
5/26/2024,1584.580kWh,3.179206292
5/25/2024,1354.340kWh,2.717266562
5/24/2024,1073.430kWh,2.153665583
5/23/2024,1633.830kWh,3.278018539
5/22/2024,952.210kWh,1.910457044
5/21/2024,1998.300kWh,4.009269291
5/20/2024,1625.450kWh,3.261205409
5/19/2024,1987.740kWh,3.98808234
5/18/2024,2284.140kWh,4.582761526
5/17/2024,1283.030kWh,2.574194454
5/16/2024,1546.690kWh,3.103186068
5/15/2024,1222.810kWh,2.453372658
