Date,Generated,Efficiency
5/14/2024,2481.380kWh,4.978492035
5/13/2024,2150.660kWh,4.314955259
5/12/2024,1091.270kWh,2.189458689
5/11/2024,2346.300kWh,4.707475623
5/10/2024,2346.350kWh,4.70757594
5/9/2024,2025.770kWh,4.064383452
5/8/2024,1121.730kWh,2.250571807
5/7/2024,2607.950kWh,5.232434493
5/6/2024,1797.050kWh,3.605493359
5/5/2024,1955.830kWh,3.92406003
5/4/2024,1693.960kWh,3.398659765
5/3/2024,511.470kWh,1.026182737
5/2/2024,2132.920kWh,4.279362786
5/1/2024,1223.830kWh,2.455419124
4/30/2024,1679.250kWh,3.369146503
4/29/2024,2198.910kWh,4.411761165
4/28/2024,1066.480kWh,2.13972152
4/27/2024,1302.470kWh,2.613197705
4/26/2024,1742.020kWh,3.495084467
4/25/2024,1367.640kWh,2.743950885
4/24/2024,1023.570kWh,2.053629469
4/23/2024,1972.630kWh,3.957766542
4/22/2024,1691.890kWh,3.394506641
4/21/2024,1956.190kWh,3.924782312
4/20/2024,1330.140kWh,2.668713134
4/19/2024,1243.550kWh,2.49498415
4/18/2024,1812.920kWh,3.637333975
4/17/2024,1337.030kWh,2.682536816
4/16/2024,1431.880kWh,2.872838169
4/15/2024,876.190kWh,1.757935075
4/14/2024,1811.850kWh,3.635187192
4/13/2024,1619.540kWh,3.249347939
4/12/2024,1643.360kWh,3.297138959
4/11/2024,423.580kWh,0.849845512
4/10/2024,1833.190kWh,3.678002488
4/9/2024,921.940kWh,1.849725131
4/8/2024,1000.860kWh,2.008065487
4/7/2024,1781.330kWh,3.573953694
4/6/2024,1122.160kWh,2.251434533
4/5/2024,1014.220kWh,2.03487019
