Date,Generated,Efficiency
6/24/2024,540.44,2.138493194
6/23/2024,730.247,2.889549699
6/22/2024,473.356,1.873045267
6/21/2024,489.078,1.93525641
6/20/2024,93.592,0.370338715
6/19/2024,738.882,2.923717949
6/18/2024,395.981,1.566876385
6/17/2024,260.902,1.032375752
6/16/2024,496.764,1.965669516
6/15/2024,584.111,2.311297088
6/14/2024,331.053,1.309959639
6/13/2024,191.131,0.756295505
6/12/2024,244.038,0.965645774
6/11/2024,388.205,1.536107154
6/10/2024,450.01,1.78066635
6/9/2024,557.494,2.205974992
6/8/2024,403.65,1.597222222
6/7/2024,301.076,1.191342197
6/6/2024,368.017,1.45622428
6/5/2024,604.567,2.392240424
6/4/2024,323.605,1.280488287
6/3/2024,268.608,1.062867996
6/2/2024,380.948,1.50739158
6/1/2024,454.413,1.798088794
5/31/2024,624.655,2.471727604
5/30/2024,88.566,0.350451092
5/29/2024,819.22,3.241611269
5/28/2024,860.014,3.403031022
5/27/2024,884.868,3.501377018
5/26/2024,893.655,3.536146724
5/25/2024,875.465,3.464169832
5/24/2024,418.997,1.657949509
5/23/2024,513.059,2.03014799
5/22/2024,594.326,2.351717316
5/21/2024,404.769,1.601650047
5/20/2024,663.985,2.627354384
5/19/2024,266.204,1.053355492
5/18/2024,753.22,2.980452675
5/17/2024,518.741,2.052631371
5/16/2024,946.847,3.746624723
