Date,Generated,Efficiency
9/12/2024,611.731,2.420588003
9/11/2024,534.211,2.113845362
9/10/2024,901.945,3.568949826
9/9/2024,888.709,3.516575657
9/8/2024,736.929,2.915990028
9/7/2024,877.14,3.470797721
9/6/2024,184.747,0.731034346
9/5/2024,249.978,0.989150047
9/4/2024,637.156,2.521193416
9/3/2024,895.92,3.545109212
9/2/2024,881.323,3.487349636
9/1/2024,789.176,3.122728712
8/31/2024,728.593,2.883004907
8/30/2024,865.414,3.424398544
8/29/2024,724.558,2.86703862
8/28/2024,818.223,3.237666192
8/27/2024,518.533,2.051808325
8/26/2024,638.055,2.524750712
8/25/2024,869.24,3.439537828
8/24/2024,885.71,3.504708769
8/23/2024,296.08,1.171573283
8/22/2024,919.367,3.637887781
8/21/2024,865.157,3.423381608
8/20/2024,235.829,0.933163185
8/19/2024,698.609,2.764359766
8/18/2024,551.516,2.182320355
8/17/2024,1024.879,4.055393321
8/16/2024,609.124,2.410272238
8/15/2024,565.142,2.236237733
8/14/2024,827.008,3.272427984
8/13/2024,959.244,3.795679012
8/12/2024,1082.844,4.284757835
8/11/2024,1042.021,4.12322333
8/10/2024,916.84,3.627888572
8/9/2024,792.252,3.134900285
8/8/2024,250.585,0.991551915
8/7/2024,875.172,3.463010446
8/6/2024,860.37,3.404439696
8/5/2024,1030.809,4.078858025
8/4/2024,913.195,3.613465495
