Date,Generated,Efficiency
9/11/2024,57.156,0.879323077
9/10/2024,164.463,2.5302
9/9/2024,93.477,1.438107692
9/8/2024,51.354,0.790061538
9/7/2024,229.947,3.537646154
9/6/2024,223.863,3.444046154
9/5/2024,111.309,1.712446154
9/4/2024,162.909,2.506292308
9/3/2024,189.465,2.914846154
9/2/2024,170.718,2.626430769
9/1/2024,213.948,3.291507692
8/31/2024,219.483,3.376661538
8/30/2024,214.62,3.301846154
8/29/2024,225.843,3.474507692
8/28/2024,225.117,3.463338462
8/27/2024,146.682,2.256646154
8/26/2024,130.179,2.002753846
8/25/2024,77.037,1.185184615
8/24/2024,236.382,3.636646154
8/23/2024,251.826,3.874246154
8/22/2024,254.124,3.9096
8/21/2024,198.505,3.053923077
8/20/2024,198.594,3.055292308
8/19/2024,166.337,2.559030769
8/18/2024,200.997,3.092261538
8/17/2024,56.907,0.875492308
8/16/2024,89.451,1.376169231
8/15/2024,234.576,3.608861538
8/14/2024,257.901,3.967707692
8/13/2024,244.182,3.756646154
8/12/2024,257.85,3.966923077
8/11/2024,255.801,3.9354
8/10/2024,268.074,4.124215385
8/9/2024,270.492,4.161415385
8/8/2024,269.166,4.141015385
8/7/2024,187.413,2.883276923
8/6/2024,142.758,2.196276923
8/5/2024,254.487,3.915184615
8/4/2024,241.806,3.720092308
8/3/2024,216.411,3.3294
8/2/2024,191.868,2.951815385
