Date,Generated,Efficiency,System Name,Location,System Size (kW)
1/10/2025,14.829kWh,0.228kWh/kW,Feuerwehr,Switzerland,65
1/9/2025,36.132kWh,0.556kWh/kW,Feuerwehr,Switzerland,65
1/8/2025,15.687kWh,0.241kWh/kW,Feuerwehr,Switzerland,65
1/7/2025,48.798kWh,0.751kWh/kW,Feuerwehr,Switzerland,65
1/6/2025,26.160kWh,0.402kWh/kW,Feuerwehr,Switzerland,65
1/5/2025,30.027kWh,0.462kWh/kW,Feuerwehr,Switzerland,65
1/4/2025,31.311kWh,0.482kWh/kW,Feuerwehr,Switzerland,65
1/3/2025,44.409kWh,0.683kWh/kW,Feuerwehr,Switzerland,65
1/2/2025,27.927kWh,0.430kWh/kW,Feuerwehr,Switzerland,65
1/1/2025,42.639kWh,0.656kWh/kW,Feuerwehr,Switzerland,65
12/31/2024,23.538kWh,0.362kWh/kW,Feuerwehr,Switzerland,65
12/30/2024,3.690kWh,0.057kWh/kW,Feuerwehr,Switzerland,65
12/29/2024,11.244kWh,0.173kWh/kW,Feuerwehr,Switzerland,65
12/28/2024,4.857kWh,0.075kWh/kW,Feuerwehr,Switzerland,65
12/27/2024,4.161kWh,0.064kWh/kW,Feuerwehr,Switzerland,65
12/26/2024,27.867kWh,0.429kWh/kW,Feuerwehr,Switzerland,65
12/25/2024,13.752kWh,0.212kWh/kW,Feuerwehr,Switzerland,65
12/24/2024,2.337kWh,0.036kWh/kW,Feuerwehr,Switzerland,65
12/23/2024,0.000kWh,0.000kWh/kW,Feuerwehr,Switzerland,65
12/22/2024,6.630kWh,0.102kWh/kW,Feuerwehr,Switzerland,65
12/21/2024,40.695kWh,0.626kWh/kW,Feuerwehr,Switzerland,65
12/20/2024,23.649kWh,0.364kWh/kW,Feuerwehr,Switzerland,65
12/19/2024,10.347kWh,0.159kWh/kW,Feuerwehr,Switzerland,65
12/18/2024,31.257kWh,0.481kWh/kW,Feuerwehr,Switzerland,65
12/17/2024,52.020kWh,0.800kWh/kW,Feuerwehr,Switzerland,65
12/16/2024,55.680kWh,0.857kWh/kW,Feuerwehr,Switzerland,65
12/15/2024,44.115kWh,0.679kWh/kW,Feuerwehr,Switzerland,65
12/14/2024,15.987kWh,0.246kWh/kW,Feuerwehr,Switzerland,65
12/13/2024,12.144kWh,0.187kWh/kW,Feuerwehr,Switzerland,65
12/12/2024,4.968kWh,0.076kWh/kW,Feuerwehr,Switzerland,65
12/11/2024,4.104kWh,0.063kWh/kW,Feuerwehr,Switzerland,65
12/10/2024,2.331kWh,0.036kWh/kW,Feuerwehr,Switzerland,65
12/9/2024,6.459kWh,0.099kWh/kW,Feuerwehr,Switzerland,65
12/8/2024,29.016kWh,0.446kWh/kW,Feuerwehr,Switzerland,65
12/7/2024,16.233kWh,0.250kWh/kW,Feuerwehr,Switzerland,65
12/6/2024,35.988kWh,0.554kWh/kW,Feuerwehr,Switzerland,65
12/5/2024,31.644kWh,0.487kWh/kW,Feuerwehr,Switzerland,65
12/4/2024,24.783kWh,0.381kWh/kW,Feuerwehr,Switzerland,65
12/3/2024,46.446kWh,0.715kWh/kW,Feuerwehr,Switzerland,65
12/2/2024,31.692kWh,0.488kWh/kW,Feuerwehr,Switzerland,65
12/1/2024,55.830kWh,0.859kWh/kW,Feuerwehr,Switzerland,65
11/30/2024,10.104kWh,0.155kWh/kW,Feuerwehr,Switzerland,65
11/29/2024,45.927kWh,0.707kWh/kW,Feuerwehr,Switzerland,65
11/28/2024,8.430kWh,0.130kWh/kW,Feuerwehr,Switzerland,65
11/27/2024,63.957kWh,0.984kWh/kW,Feuerwehr,Switzerland,65
11/26/2024,65.565kWh,1.009kWh/kW,Feuerwehr,Switzerland,65
11/25/2024,67.860kWh,1.044kWh/kW,Feuerwehr,Switzerland,65
11/24/2024,8.796kWh,0.135kWh/kW,Feuerwehr,Switzerland,65
11/23/2024,0.000kWh,0.000kWh/kW,Feuerwehr,Switzerland,65
