Date,Generated,Efficiency
6/23/2024,129.954,1.999292308
6/22/2024,96.66,1.487076923
6/21/2024,47.544,0.731446154
6/20/2024,134.925,2.075769231
6/19/2024,299.976,4.615015385
6/18/2024,285.048,4.385353846
6/17/2024,165.108,2.540123077
6/16/2024,282.57,4.347230769
6/15/2024,221.583,3.408969231
6/14/2024,162.195,2.495307692
6/13/2024,302.451,4.653092308
6/12/2024,292.404,4.498523077
6/11/2024,82.758,1.2732
6/10/2024,262.329,4.035830769
6/9/2024,129.483,1.992046154
6/8/2024,163.989,2.522907692
6/7/2024,215.829,3.320446154
6/6/2024,238.77,3.673384615
6/5/2024,222.201,3.418476923
6/4/2024,270.684,4.164369231
6/3/2024,60.639,0.932907692
6/2/2024,114.318,1.758738462
6/1/2024,89.214,1.372523077
5/31/2024,38.616,0.594092308
5/30/2024,154.122,2.371107692
5/29/2024,138.243,2.126815385
5/28/2024,277.554,4.270061538
5/27/2024,110.697,1.703030769
5/26/2024,258.369,3.974907692
5/25/2024,271.023,4.169584615
5/24/2024,217.812,3.350953846
5/23/2024,74.571,1.147246154
5/22/2024,192.774,2.965753846
5/21/2024,84.171,1.294938462
5/20/2024,283.014,4.354061538
5/19/2024,266.604,4.1016
5/18/2024,269.274,4.142676923
5/17/2024,159.099,2.447676923
5/16/2024,158.508,2.438584615
5/15/2024,99.033,1.523584615
