Date,Generated,Efficiency
6/24/2024,252.314,2.748518519
6/23/2024,266.172,2.899477124
6/22/2024,450.236,4.90453159
6/21/2024,243.558,2.653137255
6/20/2024,376.308,4.099215686
6/19/2024,436.338,4.753137255
6/18/2024,470.951,5.130185185
6/17/2024,450.867,4.911405229
6/16/2024,261.799,2.851840959
6/15/2024,445.146,4.849084967
6/14/2024,343.183,3.738376906
6/13/2024,157.239,1.712843137
6/12/2024,70.511,0.768093682
6/11/2024,127.037,1.383845316
6/10/2024,212.164,2.311154684
6/9/2024,287.484,3.131633987
6/8/2024,415.848,4.529934641
6/7/2024,354.048,3.856732026
6/6/2024,478.389,5.21120915
6/5/2024,439.091,4.783126362
6/4/2024,416.857,4.540925926
6/3/2024,176.786,1.92577342
6/2/2024,352.209,3.836699346
6/1/2024,191.955,2.091013072
5/31/2024,113.409,1.235392157
5/30/2024,310.313,3.380315904
5/29/2024,441.533,4.809727669
5/28/2024,203.83,2.22037037
5/27/2024,389.681,4.244891068
5/26/2024,288.953,3.147636166
5/25/2024,372.257,4.055087146
5/24/2024,432.77,4.714270153
5/23/2024,261.235,2.845697168
5/22/2024,284.204,3.095904139
5/21/2024,101.281,1.103278867
5/20/2024,462.501,5.038137255
5/19/2024,466.56,5.082352941
5/18/2024,451.286,4.915969499
5/17/2024,307.883,3.353845316
5/16/2024,126.079,1.373409586
