Date,Generated,Efficiency
9/12/2024,10.414,0.113442266
9/11/2024,326.319,3.554673203
9/10/2024,301.382,3.283028322
9/9/2024,108.328,1.180043573
9/8/2024,272.733,2.970947712
9/7/2024,321.383,3.500904139
9/6/2024,172.335,1.877287582
9/5/2024,173.208,1.886797386
9/4/2024,349.825,3.810729847
9/3/2024,341.257,3.717396514
9/2/2024,330.407,3.599204793
9/1/2024,317.578,3.459455338
8/31/2024,340.525,3.709422658
8/30/2024,361.076,3.93328976
8/29/2024,323.268,3.521437908
8/28/2024,374.647,4.081122004
8/27/2024,214.999,2.342037037
8/26/2024,348.532,3.79664488
8/25/2024,341.091,3.715588235
8/24/2024,377.022,4.106993464
8/23/2024,381.171,4.152189542
8/22/2024,333.21,3.629738562
8/21/2024,195.415,2.128703704
8/20/2024,308.181,3.357091503
8/19/2024,103.729,1.129945534
8/18/2024,249.93,2.72254902
8/17/2024,311.167,3.389618736
8/16/2024,367.663,4.005043573
8/15/2024,368.587,4.015108932
8/14/2024,338.08,3.682788671
8/13/2024,403.575,4.39624183
8/12/2024,398.003,4.335544662
8/11/2024,404.143,4.402429194
8/10/2024,377.954,4.117145969
8/9/2024,352.081,3.835305011
8/8/2024,361.673,3.939793028
8/7/2024,395.876,4.312374728
8/6/2024,398.615,4.342211329
8/5/2024,228.724,2.491546841
8/4/2024,349.803,3.810490196
