Date,Generated,Efficiency
5/15/2024,288.122kWh,3.138583878
5/14/2024,244.817kWh,2.666851852
5/13/2024,168.355kWh,1.833932462
5/12/2024,395.544kWh,4.30875817
5/11/2024,459.277kWh,5.003017429
5/10/2024,453.972kWh,4.945228758
5/9/2024,418.432kWh,4.558082789
5/8/2024,104.439kWh,1.137679739
5/7/2024,182.526kWh,1.988300654
5/6/2024,370.890kWh,4.040196078
5/5/2024,433.418kWh,4.721328976
5/4/2024,388.514kWh,4.232178649
5/3/2024,137.171kWh,1.494237473
5/2/2024,214.881kWh,2.340751634
5/1/2024,339.923kWh,3.702864924
4/30/2024,447.785kWh,4.877832244
4/29/2024,441.304kWh,4.807233115
4/28/2024,354.981kWh,3.866895425
4/27/2024,427.805kWh,4.660185185
4/26/2024,339.055kWh,3.693409586
4/25/2024,189.689kWh,2.066328976
4/24/2024,191.795kWh,2.089270153
4/23/2024,7.529kWh,0.082015251
4/22/2024,323.407kWh,3.52295207
4/21/2024,356.090kWh,3.878976035
4/20/2024,399.763kWh,4.354716776
4/19/2024,319.724kWh,3.482832244
4/18/2024,269.770kWh,2.938671024
4/17/2024,199.554kWh,2.17379085
4/16/2024,21.370kWh,0.232788671
4/15/2024,277.107kWh,3.018594771
4/14/2024,369.531kWh,4.025392157
4/13/2024,387.808kWh,4.224488017
4/12/2024,376.519kWh,4.101514161
4/11/2024,359.060kWh,3.911328976
4/10/2024,72.060kWh,0.78496732
4/9/2024,300.367kWh,3.271971678
4/8/2024,331.689kWh,3.613169935
4/7/2024,374.569kWh,4.080272331
4/6/2024,355.126kWh,3.868474946
